Vale
Coña
Broma
Polla
Ostia
Joder
Guarro
Coñazo
Gafe
Chorrada
Piro
Currar
Curro
Mola
Mogollón
Tronco
Perras
Gilipollas
Colegas
Flipar
Maja
Cachas
Guay
Morro
Chorvo
Pedo
Chavala
Peten
Putada
Enchochado
Churri
Maderos
Trena
Pasma
Gamberro 
Macarra
Verbenero
Putón
Grillado
