apachurrar
achantado
balurdo
beta
biyuyo
birra
bochinche
bojote
bonche
bululใบ
carajito
chamba
choreto
compinche
corotos
cuaima
chamo
empate
gamelote
guayoyo
guiso
jubilarse
labia
levante
leche
mamonazo
mosca
pana
papear
papita
pavo
pea
sapo
sifrino
vaca
yeyo
zanahoria
zape
zaperoco
