chaleco
chile
Yahuuaa
onda
Ajuaa
Albur
Alivianar
Ándale
Ambrosía
Apretada
Arma
Atizar mota
Azotarse
Barajearla
Basculiar
Blanquillo
Bolsear
Bronca
Burrocrata
Caballo
Cadaverizar
Calabaza
Clarin
Corcholata
Cuico
Chafirete
Chance
Chido
Chinga
Chingao
atole
hueva
Fajarse
Fría
Fusca
Gata
Gatear
Guevon
tamales
Híjole
Huacho
Hueva
Jalada
Lana
Latir
Madrazo
Mamada
Metiche
Naco
Neta
pex
mames
Puñal
Wey
