palta
choclo
choro
camote
papa
limón
frejoles
arvejas
sancochar
sancochado
fideos
gaseosa
pararse
jalar
manejar
carro
caño
grifo
petróleo 
aro
llanta
vereda
pasto
celular
laptop
balancear
concientizar
concreto
jamaiquino
valorizado
neva
lisura
poto
cuatrimoto
Moto lineal
cuadra
chompa
terno
saco
chalina
casaca
lúcuma
Cebiche
Ceviche
Pachamanca
Chincho
Marciano
Raspadilla
cremolada
anticucho
Cholo
Combi
Taxi cholo
Soroche
Serenazgo
guachimán
plancha
Curul
canciller
burgomaestre
Chifa
garúa
chicha
mazamorra
chela
pata
cabecear
Taypá
Pituco
Plata
luca
Conchudo
chochera
balacera
