Guayabo
Bacano
Rumbiar
Pelao
Mono
Trancon
Ñero
Gamin
Pola
Lukas
Parcero
Chaza
Guaro
Farra
Toke
Whiskeria
Melona
Tombo
Parca
Drogueria
Chino
Visaje
Tropel
Chimba
Vieja
Berraca
Pulido
Toche
Tochada
camello
camellar
Gallo
sisas
Chibita
Guevonada
Gorrion
Llave
Vitriniar
Locha
Buque
Caja
Gasolinero
Zunga
Grilla
Chirrete
Liso
Gato
Pato
Charro
Amañar
Culebra
abrirse
parche
buñuelo
arrugado
desparchado
agarrado
bareta
acido
recostado
aguevado
cascar
aleteo
aletoso
callado
papaya
papayaso
ñapa
chepa
diabla
faltón
foquiado
motoso
garulla
hongo
latoso
lobo
la cana
encanado
Cometrapo
gurbia
Ruca
Chimbita
Plon
Kolino
Jibaro
Traqueto
Mañé
Trafuga
Roscon
Cacorro
Olla
Insolado
