Vos 
Sos 
Che 
Chavón 
Pibe 
Mina 
Tomar 
Laburo 
Changa 
Morfar 
Chupar 
Pochoclos 
ReBien 
Pucho 
Copado 
Boludo 
Cheto 
Cachito 
Tomátela 
Plomo 
Grasa 
Ortiva 
Vigilante 
Cabezon 
Chamuyar 
Versear 
Currar 
Afanar
Chorear
Chorro 
Cana
Milico 
Boga 
Linyera 
Ñapi 
Piña
Bondi 
Posta 
Coger 
Guita 
Naso 
Trompa 
Bocha 
Gamba 
Gauchada 
Gaucho
Gaucha
Tinto 
Tipo 
Capo 
Groso 
Boton 
salame 
Pecho frio 
Enojo
tanque
