achacarse
achuntar
apañar
apestarse
aperrar
apitutado
apretado
arrugar
atao
avispado
bacán
barsa
buche
cabro
cabra
cabritas
cachar
cachureos
cahuín
calato
caleta
carrete
colarse
condoro
copete
curao
chapa
chorearse
denso
doblado
embarrarla
engrupir
enrollado
fiambre
filo
fome
fonda
fresco
galla
gancho
gansa
ganso
gil
guacho
guagua
guanaco
guata
guater
hachazo
hallulla
huaso
huevón
inflar
inflado
jarana
jote
julepe
lanza
lata
latero
lesear
leseras
lola
lolo
longi
luca
machucado
micro
mino
onda
once
patiperro
patudo
pavear
pega
peludo
picada
piola
pololeo
previa
queque
quina
quiubo
rajado
rasca
rico
socio
taco
talla
tata
tollo
tuto
último
virarse
yapa
yunta
